Date,Publisher,Link_to_Creative,Spend_USD
2024-01,anagrammer.com,https://s3.amazonaws.com/YM_Ads/rkTHr1Sqo3p3UHplwVFpuA.jpg,785.408
2024-01,anagrammer.com,https://s3.amazonaws.com/YM_Ads/BqZNEalopcEBoud8U1x-8w.jpg,490.99269999999996
2024-01,anagrammer.com,https://s3.amazonaws.com/YM_Ads/e1enOVxybgf3ah8o11I5JA.jpg,394.5429
2024-01,androidauthority.com,https://s3.amazonaws.com/YM_Ads/5k2sGc_ThGh1kaVUIcAnOg.png,122.7203
2024-01,androidauthority.com,https://s3.amazonaws.com/YM_Ads/LxmYnrQW8XmXGYxXsRLnnw.png,121.7342
2024-01,androidauthority.com,https://s3.amazonaws.com/YM_Ads/tRFzuLEH34RJuNtREYTyJg.png,60.1416
2024-01,androidpolice.com,https://s3.amazonaws.com/YM_Ads/I1RUkja8L6vmUTZQDxLjJQ.mp4,323.12760000000003
2024-01,androidpolice.com,https://s3.amazonaws.com/YM_Ads/-PraGq6OMu9sHf6amT-XrQ.png,84.2046
2024-01,androidpolice.com,https://s3.amazonaws.com/YM_Ads/pL1YRH_Ui1lpdJoZ4ARbfQ.png,84.2046
2024-01,aol.com,https://s3.amazonaws.com/YM_Ads/pox02bP9BWAB22a9mX9BPA.png,2637.5765
2024-01,aol.com,https://s3.amazonaws.com/YM_Ads/khfZyLNURQCNYnYjK84nng.png,223.1236
2024-01,aol.com,https://s3.amazonaws.com/YM_Ads/V4tIFCs-Kp9vK86DgJXdJg.png,194.2195
2024-01,apinchofhealthy.com,https://s3.amazonaws.com/YM_Ads/z7OQw7yIaSsIW4h5j-1xTQ.png,4.7552
2024-01,apinchofhealthy.com,https://s3.amazonaws.com/YM_Ads/rkTHr1Sqo3p3UHplwVFpuA.jpg,2.1125
2024-01,apinchofhealthy.com,https://s3.amazonaws.com/YM_Ads/TDQhw1fPW04S5XqkkIMe4w.jpg,1.6585
2024-01,apnews.com,https://s3.amazonaws.com/YM_Ads/6YqOWKkuaVGuoQOa1gIJXw.png,6.9927
2024-01,apnews.com,https://s3.amazonaws.com/YM_Ads/a6tY8VJ2w6C7E_tDitCYXA.png,4.8006
2024-01,apnews.com,https://s3.amazonaws.com/YM_Ads/7beiedp1Uof_fRyS472D8Q.png,4.4902
2024-01,appleinsider.com,https://s3.amazonaws.com/YM_Ads/atOOMTGoxNxaWhCfrgn7iQ.png,751.5219
2024-01,appleinsider.com,https://s3.amazonaws.com/YM_Ads/vU4bJw0DMl_Pse6Hn0NxVA.png,619.1004
2024-01,appleinsider.com,https://s3.amazonaws.com/YM_Ads/hvc-ECEJoP9-gen1WN5VXA.png,429.0543
2024-01,appunwrapper.com,https://s3.amazonaws.com/YM_Ads/KI1rVSYuuCYWmCVarukjQQ.png,2.4425
2024-01,architecturaldigest.com (Condé Nast),https://s3.amazonaws.com/YM_Ads/a6NQJ0mj9xjkuVm07j_F2g.png,94.3333
2024-01,architecturendesign.net,https://s3.amazonaws.com/YM_Ads/QDgxnTHg9otrm7_cLJmizA.png,0.1349
2024-01,arstechnica.com (Condé Nast),https://s3.amazonaws.com/YM_Ads/8_Hk5N0R_vBQXKBoNWdjig.png,222.9049
2024-01,arstechnica.com (Condé Nast),https://s3.amazonaws.com/YM_Ads/2Xl3hXFeMM87IUX7fldfSA.png,191.4246
2024-01,arstechnica.com (Condé Nast),https://s3.amazonaws.com/YM_Ads/-PraGq6OMu9sHf6amT-XrQ.png,182.9385
2024-01,artnews.com,https://s3.amazonaws.com/YM_Ads/-PraGq6OMu9sHf6amT-XrQ.png,402.7898
2024-01,artnews.com,https://s3.amazonaws.com/YM_Ads/unkG3Tp8IcmFVXUqY7UfWQ.png,307.6695
2024-01,asajo.jp,https://s3.amazonaws.com/YM_Ads/zVEYvxnLugAugA96VYtTbQ.png,0.4886
2024-01,asajo.jp,https://s3.amazonaws.com/YM_Ads/foAQONy9K2TbI3kqg0RcZA.png,0.2443
2024-01,asajo.jp,https://s3.amazonaws.com/YM_Ads/_s25C1cKJvux0FLmXpiSkQ.png,0.123
2024-01,ask.com (IAC),https://s3.amazonaws.com/YM_Ads/10VM6yKwG67j7002dsXqiA.png,641.6008
2024-01,askamanager.org,https://s3.amazonaws.com/YM_Ads/oXU9W5YueEvY6twwNLwxXA.png,309.1809
2024-01,askamanager.org,https://s3.amazonaws.com/YM_Ads/6YqOWKkuaVGuoQOa1gIJXw.png,203.5285
2024-01,askamanager.org,https://s3.amazonaws.com/YM_Ads/9VGYZGPT3JVWCIBxe5Aoog.png,192.1139
2024-01,askpython.com,https://s3.amazonaws.com/YM_Ads/pZlXQIqEFWt4GdqH33WNuw.png,93.3529
2024-01,athletic.net,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,1010.3276000000001
2024-01,athletic.net,https://s3.amazonaws.com/YM_Ads/2FkMSeBXwmcAZd6gHnOBRw.png,443.684
2024-01,athletic.net,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,439.1829
2024-01,athlonsports.com,https://s3.amazonaws.com/YM_Ads/oXU9W5YueEvY6twwNLwxXA.png,242.9182
2024-01,athlonsports.com,https://s3.amazonaws.com/YM_Ads/8fjjJvBv2hFeBJBbkMy84A.png,116.3614
2024-01,att.com (AT&T),https://s3.amazonaws.com/YM_Ads/Z-caypgxx7iPWb5uKJgyug.png,341.8633
2024-01,att.com (AT&T),https://s3.amazonaws.com/YM_Ads/10MT2t-jAjdUN0o6aReQKQ.png,242.6049
