Date,Category_Level_8,Link_to_Creative,Spend_USD
2024-05,Checking Accounts,https://s3.amazonaws.com/YM_Ads/-4517428492616297246.png,202637.2541
2024-05,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/0575b1698f987168/media,194933.1142
2024-05,Checking Accounts,https://x-ad-assets.s3.amazonaws.com/media_asset/58e2eae9afda6fcd/media,142239.083
2024-05,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/7af911665027a685/media,1393626.5878
2024-05,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/e539913b0b10f77f/media,1343948.2925
2024-05,Consumer Banking,https://x-ad-assets.s3.amazonaws.com/media_asset/d908eff5151575e4/media,1004420.5204
2024-05,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/bfb550c8758c8c1b/media,1045503.6730000001
2024-05,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/c4265825662a3b27/media,924720.7881
2024-05,Consumer Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/cbfb717450bc226f/media,799474.875
2024-05,"Corporate, Institutional, and Wholesale Banking",https://x-ad-assets.s3.amazonaws.com/media_asset/f233b289a5da98f4/media,44064.3929
2024-05,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/MlNtF9HHSoWHy0993731Sg.mp4,36420.7992
2024-05,"Corporate, Institutional, and Wholesale Banking",https://s3.amazonaws.com/YM_Ads/-tB-PP1LQkW21-OFGsxp6A.mp4,16237.4454
2024-05,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/ZX2dDxIiLYjKQe7h_p6L5A.png,410702.0534
2024-05,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/FX6ILPQdFiUsuvm6qUq0Zw.png,115597.8939
2024-05,Coupons & Rebates,https://s3.amazonaws.com/YM_Ads/m2bUwzWCBxCZeKqmW3Ltqg.png,107091.3926
2024-05,Credit Cards,https://s3.amazonaws.com/YM_Ads/QkzjLZBNPNvPCPX-YV4Sug.png,37.4107
2024-05,Credit Cards,https://s3.amazonaws.com/YM_Ads/971esPZO8OuPN96GNDGSoA.png,15.806
2024-05,Credit Cards,https://s3.amazonaws.com/YM_Ads/WDQV_uDYDCRr_A2fjEgP3w.png,12.4959
2024-05,Credit Reports & Reporting Services,https://s3.amazonaws.com/YM_Ads/xIWI3lXIGvAr8ePRWHa0gw.png,1284.8428000000001
2024-05,Credit Reports & Reporting Services,https://s3.amazonaws.com/YM_Ads/mpT5arG0FagPwE1d1G5lJQ.png,605.2907
2024-05,Credit Reports & Reporting Services,https://s3.amazonaws.com/YM_Ads/o6Cum0kKSUb3OV3tJJaqvQ.png,535.4264
2024-05,Finance Careers,https://s3.amazonaws.com/YM_Ads/cmZ4ZI_gUyJXaHIJNqyRzQ.mp4,22927.9336
2024-05,Finance Careers,https://x-ad-assets.s3.amazonaws.com/media_asset/b3b58ee6e1446a71/media,18185.7851
2024-05,Finance Careers,https://s3.amazonaws.com/YM_Ads/IYMoOzS87e1uQSUyMNVbFA.mp4,10596.2972
2024-05,Financial Services,https://s3.amazonaws.com/YM_Ads/1741505979081916080.png,87604.9856
2024-05,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/b887855fc3286fcf/media,69323.8927
2024-05,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/cf4ffef33bfbd18b/media,54889.0862
